"Refund Details","Refund Details"
"Payment Details","Payment Details"
"Order Id","Order Id"
"Partner Paypal Id","Partner Paypal Id"
"Created At","Created At"
"Partner Amount","Partner Amount"
"Commission Amount","Commission Amount"
"Currency","Currency"
"Buyer Paypal Id","Buyer Paypal Id"
"Transaction Id","Transaction Id"
"Transaction Status","Transaction Status"
"Refund Net Amount","Refund Net Amount"
"Refund Fee Amount","Refund Fee Amount"
"Refund Gross Amount","Refund Gross Amount"
"Transaction Id","Transaction Id"
"Refund Status","Refund Status"
"No order for processing found","No order for processing found"
"You have ordered more than 5 partner products","You have ordered more than 5 partner products"
"Please contact admin partner amount is greater than total amount","Please contact admin partner amount is greater than total amount"
"Pay API call failed.","Pay API call failed."
"Error Message:","Error Message:"
"Partial amount of captured automatically.","Partial amount of captured automatically."
"Payment Canceled.","Payment Canceled."
"Unable to cancel Paypal Adaptive Checkout.","Unable to cancel Paypal Adaptive Checkout."
"Paypal Adaptive Payment","Paypal Adaptive Payment"
"Paypal Adaptive Payment Details","Paypal Adaptive Payment Details"
"Paypal Adaptive Refund","Paypal Adaptive Refund"
"Paypal Adaptive Refund Details","Paypal Adaptive Refund Details"
"Enabled","Enabled"
"API connection failed : ","API connection failed : "
"Disabled","Disabled"
"Processing","Processing"
"Complete","Complete"
"Sandbox Mode","Sandbox Mode"
"Title","Title"
"Description","Description"
"New Order Status","New Order Status"
"Payment Successful Order Status","Payment Successful Order Status"
"Merchant Paypal Mail Address","Merchant Paypal Mail Address"
"Paypal Application Id","Paypal Application Id"
"Paypal API Username","Paypal API Username"
"Paypal API Password","Paypal API Password"
"Paypal API Signature","Paypal API Signature"
"Apptha Paypal Adaptive","Apptha Paypal Adaptive"
"Payment Details","Payment Details"
"Refund Details","Refund Details"
"You will be redirected to the Paypal Checkout website when you place an order.","You will be redirected to the Paypal Checkout website when you place an order."
"Paypal Adaptive Options","Paypal Adaptive Options"
"Share sales with Partner","Share sales with Partner"
"If disabled, config settings will be used.","If disabled, config settings will be used."
"Partner's Paypal Mail Address","Partner's Paypal Mail Address"
"GLOBAL","GLOBAL"
"Share Mode","Share Mode"
"Share Value","Share Value"
"Percent","Percent"
"Fixed","Fixed"
"Apptha Paypal Adaptive Options","Apptha Paypal Adaptive Options"
"Processing","Processing"
"Complete","Complete"
"Error Message from paypal :","Error Message from paypal :"
"Please contact admin partner paypal id is required","Please contact admin partner paypal id is required"
"User Type","User Type"
"Grand Total","Grand Total"
"Earned Amount","Earned Amount"
"Paypal Id","Paypal Id"
"Action","Action"
"View","View"
"API connection failed : ","API connection failed : "
"Please contact admin commission amount is greater than product amount","Please contact admin commission amount is greater than product amount"
"Each Reciever","Each Reciever"
"Secondary Receiver","Secondary Receiver"
"Sender","Sender"
"Primary Receiver","Primary Receiver"
"Paypal Fee Payer","Paypal Fee Payer"
"Select Payment Method","Select Payment Method"
"Chained Payment","Chained Payment"
"Parallel Payment","Parallel Payment"
"Order Status","Order Status"
"Enable Refund Process","Enable Refund Process"